dimension,grouping,group,n_pairs,ndcg_alignment_pct,mean_abs_delta_ndcg,mean_abs_delta_coverage
balanced,ndcg_gap_group,large,7,100.0,0.007657320332477993,0.28679234756435273
balanced,ndcg_gap_group,small,8,75.0,0.0023936029325437084,0.45975901340260156
balanced,coverage_gap_group,large,7,71.42857142857143,0.003620652760347078,0.6225388613403584
balanced,coverage_gap_group,small,8,100.0,0.005925687058158259,0.16598081384859667
balanced,small_ndcg_large_cov,False,10,100.0,0.0059922695663566,0.26538749284473895
balanced,small_ndcg_large_cov,True,5,60.0,0.0025654740248259246,0.6063487223447784
diversity,ndcg_gap_group,large,7,71.42857142857143,0.007657320332477993,0.28679234756435273
diversity,ndcg_gap_group,small,8,75.0,0.0023936029325437084,0.45975901340260156
diversity,coverage_gap_group,large,7,85.71428571428571,0.003620652760347078,0.6225388613403584
diversity,coverage_gap_group,small,8,62.5,0.005925687058158259,0.16598081384859667
diversity,small_ndcg_large_cov,False,10,70.0,0.0059922695663566,0.26538749284473895
diversity,small_ndcg_large_cov,True,5,80.0,0.0025654740248259246,0.6063487223447784
novelty,ndcg_gap_group,large,7,57.14285714285714,0.007657320332477993,0.28679234756435273
novelty,ndcg_gap_group,small,8,37.5,0.0023936029325437084,0.45975901340260156
novelty,coverage_gap_group,large,7,57.14285714285714,0.003620652760347078,0.6225388613403584
novelty,coverage_gap_group,small,8,37.5,0.005925687058158259,0.16598081384859667
novelty,small_ndcg_large_cov,False,10,40.0,0.0059922695663566,0.26538749284473895
novelty,small_ndcg_large_cov,True,5,60.0,0.0025654740248259246,0.6063487223447784
relevance,ndcg_gap_group,large,7,57.14285714285714,0.007657320332477993,0.28679234756435273
relevance,ndcg_gap_group,small,8,50.0,0.0023936029325437084,0.45975901340260156
relevance,coverage_gap_group,large,7,14.285714285714285,0.003620652760347078,0.6225388613403584
relevance,coverage_gap_group,small,8,87.5,0.005925687058158259,0.16598081384859667
relevance,small_ndcg_large_cov,False,10,70.0,0.0059922695663566,0.26538749284473895
relevance,small_ndcg_large_cov,True,5,20.0,0.0025654740248259246,0.6063487223447784
