case_id,base_id,condition,dataset,model_a,model_b,dimension,user_id,order,list_a_model,list_b_model,ndcg_winner,cov_winner,gt_ndcg_a,gt_ndcg_b,gt_cov_a,gt_cov_b
amazon_cds__gbaf_vs_fixed__global_diversity__annotator_01__fwd,amazon_cds__gbaf_vs_fixed__global_diversity__pair,global_stats,amazon_cds,gbaf,fixed,global_diversity,,fwd,gbaf,fixed,gbaf,fixed,0.026077695602489997,0.010882780992506617,0.7285590706870984,0.9385195254572417
amazon_cds__lightgcn_only_vs_fixed__global_diversity__annotator_01__rev,amazon_cds__lightgcn_only_vs_fixed__global_diversity__pair,global_stats,amazon_cds,lightgcn_only,fixed,global_diversity,,rev,fixed,lightgcn_only,lightgcn_only,fixed,0.016899567969702604,0.010882780992506617,0.08261245674740485,0.9385195254572417
mind__gbaf_vs_fixed__global_diversity__annotator_01__rev,mind__gbaf_vs_fixed__global_diversity__pair,global_stats,mind,gbaf,fixed,global_diversity,,rev,fixed,gbaf,gbaf,fixed,0.030046501444783547,0.02914176994586703,0.30481006093608193,0.7348632179437313
mind__lightgcn_only_vs_fixed__global_diversity__annotator_01__fwd,mind__lightgcn_only_vs_fixed__global_diversity__pair,global_stats,mind,lightgcn_only,fixed,global_diversity,,fwd,lightgcn_only,fixed,lightgcn_only,fixed,0.03106544953438276,0.02914176994586703,0.07934655775962661,0.7348632179437313
yelp__gbaf_vs_concat_mlp__global_diversity__annotator_01__fwd,yelp__gbaf_vs_concat_mlp__global_diversity__pair,global_stats,yelp,gbaf,concat_mlp,global_diversity,,fwd,gbaf,concat_mlp,gbaf,concat_mlp,0.01723630003424559,0.015599957467516185,0.49294482855933397,0.7976576830816989
yelp__lightgcn_only_vs_fixed__global_diversity__annotator_01__fwd,yelp__lightgcn_only_vs_fixed__global_diversity__pair,global_stats,yelp,lightgcn_only,fixed,global_diversity,,fwd,lightgcn_only,fixed,lightgcn_only,fixed,0.01253181850319074,0.006031406282086804,0.005679413009736137,0.4758007619585156
yelp__lightgcn_only_vs_fixed__diversity__u78602__rev,yelp__lightgcn_only_vs_fixed__diversity__u78602__pair,local_only,yelp,lightgcn_only,fixed,diversity,78602,rev,fixed,lightgcn_only,lightgcn_only,fixed,0.01253181850319074,0.006031406282086804,0.005679413009736137,0.4758007619585156
amazon_cds__lightgcn_only_vs_fixed__diversity__u906__rev,amazon_cds__lightgcn_only_vs_fixed__diversity__u906__pair,local_only,amazon_cds,lightgcn_only,fixed,diversity,906,rev,fixed,lightgcn_only,lightgcn_only,fixed,0.016899567969702604,0.010882780992506617,0.08261245674740485,0.9385195254572417
yelp__lightgcn_only_vs_fixed__diversity__u47111__fwd,yelp__lightgcn_only_vs_fixed__diversity__u47111__pair,local_only,yelp,lightgcn_only,fixed,diversity,47111,fwd,lightgcn_only,fixed,lightgcn_only,fixed,0.01253181850319074,0.006031406282086804,0.005679413009736137,0.4758007619585156
amazon_cds__gbaf_vs_fixed__diversity__u5338__fwd,amazon_cds__gbaf_vs_fixed__diversity__u5338__pair,local_only,amazon_cds,gbaf,fixed,diversity,5338,fwd,gbaf,fixed,gbaf,fixed,0.026077695602489997,0.010882780992506617,0.7285590706870984,0.9385195254572417
