dataset,model_a,model_b,dimension,user_id,effective_preference,ndcg_winner,coverage_winner,align_ndcg,align_coverage,is_conflict,local_text_distance_a,local_text_distance_b,local_text_distance_winner,align_local_text_distance,delta_local_text_distance_chosen_minus_other,local_category_count_a,local_category_count_b,local_category_count_winner,align_local_category_count,delta_local_category_count_chosen_minus_other,local_category_entropy_a,local_category_entropy_b,local_category_entropy_winner,align_local_category_entropy,delta_local_category_entropy_chosen_minus_other,description_length_a,description_length_b,description_length_winner,align_description_length,delta_description_length_chosen_minus_other,history_similarity_a,history_similarity_b,history_similarity_winner,align_history_similarity,delta_history_similarity_chosen_minus_other,average_popularity_a,average_popularity_b,average_popularity_winner,align_average_popularity,delta_average_popularity_chosen_minus_other
amazon_books,gbaf,concat_mlp,balanced,3606,gbaf,gbaf,concat_mlp,1,0,True,0.9524665338615855,0.997854710450184,concat_mlp,0,-0.045388176588598506,,,NA,,,,,NA,,,97.3,46.8,gbaf,1.0,50.5,0.03239843102006898,0.007433573742861889,gbaf,1,0.02496485727720709,4.369127633367538,2.965231348543827,gbaf,1,1.4038962848237109
amazon_books,gbaf,concat_mlp,balanced,4473,concat_mlp,gbaf,concat_mlp,0,1,True,0.9796582231876622,0.9895231843785174,concat_mlp,1,0.009864961190855226,,,NA,,,,,NA,,,90.1,94.7,concat_mlp,1.0,4.6000000000000085,0.015945095189841493,0.013749614900168006,gbaf,0,-0.0021954802896734862,3.138165064387191,3.273581553778122,concat_mlp,1,0.1354164893909311
amazon_books,gbaf,concat_mlp,balanced,11974,gbaf,gbaf,concat_mlp,1,0,True,0.9816933189200936,0.9763485121944298,gbaf,1,0.005344806725663842,,,NA,,,,,NA,,,81.8,3.7,gbaf,1.0,78.1,0.007545614611171898,0.023445712516070895,concat_mlp,0,-0.015900097904898998,2.783861033944974,2.5687872753467316,gbaf,1,0.2150737585982423
amazon_books,gbaf,concat_mlp,balanced,4611,gbaf,gbaf,concat_mlp,1,0,True,0.974471017506809,0.9833866952224041,concat_mlp,0,-0.008915677715595094,,,NA,,,,,NA,,,513.5,357.2,gbaf,1.0,156.3,0.020672629815677974,0.015068591339076471,gbaf,1,0.0056040384766015035,4.281036605015977,4.228960533896851,gbaf,1,0.052076071119126155
amazon_books,gbaf,concat_mlp,balanced,5044,concat_mlp,gbaf,concat_mlp,0,1,True,0.7498833644318401,0.9646058373512053,concat_mlp,1,0.2147224729193652,,,NA,,,,,NA,,,81.1,89.9,concat_mlp,1.0,8.800000000000011,0.10434306258414275,0.045887902175340625,gbaf,0,-0.05845516040880212,3.794002741032313,3.6850521293273957,gbaf,0,-0.10895061170491749
amazon_books,gbaf,concat_mlp,balanced,11455,gbaf,gbaf,concat_mlp,1,0,True,0.9605727374623336,0.9935924560517747,concat_mlp,0,-0.03301971858944108,,,NA,,,,,NA,,,88.4,206.4,concat_mlp,0.0,-118.0,0.018691131383277083,0.009680454498239965,gbaf,1,0.009010676885037119,3.4724198932879284,3.196749436950466,gbaf,1,0.27567045633746234
amazon_books,gbaf,concat_mlp,balanced,5158,concat_mlp,gbaf,concat_mlp,0,1,True,0.9654203746969481,0.935737786980799,gbaf,0,-0.029682587716149067,,,NA,,,,,NA,,,61.6,31.2,gbaf,0.0,-30.400000000000002,0.009920354358260774,0.06630980556500264,concat_mlp,1,0.05638945120674187,3.6228942707065483,3.4163404070554635,gbaf,0,-0.20655386365108486
amazon_books,gbaf,concat_mlp,balanced,1322,gbaf,gbaf,concat_mlp,1,0,True,0.9879678798392076,0.9950776422193605,concat_mlp,0,-0.007109762380152818,,,NA,,,,,NA,,,185.5,112.1,gbaf,1.0,73.4,0.014941715715495376,0.01028073665361857,gbaf,1,0.004660979061876807,2.8234878734084026,2.5121228810918645,gbaf,1,0.311364992316538
amazon_books,gbaf,concat_mlp,balanced,1866,gbaf,gbaf,concat_mlp,1,0,True,0.9012123086175214,0.9795728197998922,concat_mlp,0,-0.07836051118237075,,,NA,,,,,NA,,,66.4,63.6,gbaf,1.0,2.8000000000000043,0.047044088826308325,0.014651933660621867,gbaf,1,0.032392155165686456,2.9233955100563636,3.1546536569892423,concat_mlp,0,-0.23125814693287872
amazon_books,gbaf,concat_mlp,balanced,10368,gbaf,gbaf,concat_mlp,1,0,True,0.9742458224773597,0.9945138253759932,concat_mlp,0,-0.020268002898633508,,,NA,,,,,NA,,,71.3,37.0,gbaf,1.0,34.3,0.022044853022594547,0.014313197065554516,gbaf,1,0.007731655957040031,3.1135113916592836,3.5599216862281224,concat_mlp,0,-0.44641029456883885
amazon_books,gbaf,concat_mlp,balanced,8680,gbaf,gbaf,concat_mlp,1,0,True,0.9032178400995011,0.9804135810341078,concat_mlp,0,-0.07719574093460668,,,NA,,,,,NA,,,233.3,146.2,gbaf,1.0,87.10000000000002,0.09847517268444296,0.021994721850926293,gbaf,1,0.07648045083351666,4.486045158152754,4.9542945913820065,concat_mlp,0,-0.4682494332292526
amazon_books,gbaf,concat_mlp,balanced,3864,concat_mlp,gbaf,concat_mlp,0,1,True,0.9447608608611788,0.9587626239307694,concat_mlp,1,0.014001763069590556,,,NA,,,,,NA,,,52.5,77.6,concat_mlp,1.0,25.099999999999994,0.028960402576144316,0.009200775883227737,gbaf,0,-0.01975962669291658,3.4107609869249487,3.948940753376474,concat_mlp,1,0.5381797664515253
amazon_books,gbaf,concat_mlp,balanced,5268,gbaf,gbaf,concat_mlp,1,0,True,0.9311733038384391,0.9697600289735282,concat_mlp,0,-0.038586725135089095,,,NA,,,,,NA,,,66.5,215.7,concat_mlp,0.0,-149.2,0.014187335368575804,0.013268534214245675,gbaf,1,0.0009188011543301289,2.970152504644708,2.984403802219412,concat_mlp,0,-0.014251297574704225
amazon_books,gbaf,concat_mlp,balanced,1015,gbaf,gbaf,concat_mlp,1,0,True,0.9273354076620467,0.9921169295917768,concat_mlp,0,-0.06478152192973008,,,NA,,,,,NA,,,94.7,77.2,gbaf,1.0,17.5,0.052785946466242545,0.012632072565666485,gbaf,1,0.04015387390057606,3.0815527732544843,2.6209202701381704,gbaf,1,0.4606325031163139
amazon_books,gbaf,concat_mlp,balanced,2794,concat_mlp,gbaf,concat_mlp,0,1,True,0.963493158511345,0.9719781015853289,concat_mlp,1,0.008484943073983953,,,NA,,,,,NA,,,290.0,351.2,concat_mlp,1.0,61.19999999999999,0.015687121359823107,0.018001035763338117,concat_mlp,1,0.00231391440351501,3.1187960256579936,2.8371086031422577,gbaf,0,-0.281687422515736
amazon_books,gbaf,concat_mlp,balanced,5564,gbaf,gbaf,concat_mlp,1,0,True,0.9302158810887259,0.9800165331167618,concat_mlp,0,-0.04980065202803596,,,NA,,,,,NA,,,195.2,82.6,gbaf,1.0,112.6,0.06142551745470918,0.013293447514425747,gbaf,1,0.048132069940283434,3.301488616863323,2.8089088996683254,gbaf,1,0.4925797171949977
amazon_books,gbaf,concat_mlp,diversity,11134,gbaf,gbaf,concat_mlp,1,0,True,0.9328785411336216,0.9779721673834195,concat_mlp,0,-0.04509362624979796,,,NA,,,,,NA,,,75.1,20.7,gbaf,1.0,54.39999999999999,0.04514951080318639,0.02930770821314861,gbaf,1,0.015841802590037778,3.0339079316998756,3.230970560988664,concat_mlp,0,-0.19706262928878848
amazon_books,gbaf,concat_mlp,diversity,7688,gbaf,gbaf,concat_mlp,1,0,True,0.96737191338794,0.9618584360815464,gbaf,1,0.0055134773063936215,,,NA,,,,,NA,,,134.0,115.7,gbaf,1.0,18.299999999999997,0.026257274490528365,0.028704839984990765,concat_mlp,0,-0.0024475654944624003,3.1607499055299755,4.0956369001374675,concat_mlp,0,-0.934886994607492
