annotator_id,case_id,base_id,condition,dataset,model_a,model_b,dimension,user_id,order,verdict,effective_preference,ndcg_winner,cov_winner,aligns_ndcg,aligns_cov,confidence_1_to_5,notes_optional
annotator_01,yelp__lightgcn_only_vs_fixed__diversity__u78602__rev,yelp__lightgcn_only_vs_fixed__diversity__u78602__pair,local_only,yelp,lightgcn_only,fixed,diversity,78602,rev,B,lightgcn_only,lightgcn_only,fixed,True,False,5,
annotator_01,amazon_cds__lightgcn_only_vs_fixed__diversity__u906__rev,amazon_cds__lightgcn_only_vs_fixed__diversity__u906__pair,local_only,amazon_cds,lightgcn_only,fixed,diversity,906,rev,A,fixed,lightgcn_only,fixed,False,True,4,
annotator_01,yelp__lightgcn_only_vs_fixed__diversity__u47111__fwd,yelp__lightgcn_only_vs_fixed__diversity__u47111__pair,local_only,yelp,lightgcn_only,fixed,diversity,47111,fwd,A,lightgcn_only,lightgcn_only,fixed,True,False,4,
annotator_01,amazon_cds__gbaf_vs_fixed__diversity__u5338__fwd,amazon_cds__gbaf_vs_fixed__diversity__u5338__pair,local_only,amazon_cds,gbaf,fixed,diversity,5338,fwd,A,gbaf,gbaf,fixed,True,False,5,
annotator_01,mind__gbaf_vs_fixed__diversity__u35942__fwd,mind__gbaf_vs_fixed__diversity__u35942__pair,local_only,mind,gbaf,fixed,diversity,35942,fwd,A,gbaf,gbaf,fixed,True,False,4,
annotator_01,yelp__gbaf_vs_concat_mlp__diversity__u2600__rev,yelp__gbaf_vs_concat_mlp__diversity__u2600__pair,local_only,yelp,gbaf,concat_mlp,diversity,2600,rev,A,concat_mlp,gbaf,concat_mlp,False,True,4,
annotator_01,mind__gbaf_vs_fixed__diversity__u40271__rev,mind__gbaf_vs_fixed__diversity__u40271__pair,local_only,mind,gbaf,fixed,diversity,40271,rev,B,gbaf,gbaf,fixed,True,False,3,
annotator_01,amazon_cds__gbaf_vs_fixed__diversity__u14125__rev,amazon_cds__gbaf_vs_fixed__diversity__u14125__pair,local_only,amazon_cds,gbaf,fixed,diversity,14125,rev,A,fixed,gbaf,fixed,False,True,4,
annotator_01,yelp__gbaf_vs_concat_mlp__diversity__u362__fwd,yelp__gbaf_vs_concat_mlp__diversity__u362__pair,local_only,yelp,gbaf,concat_mlp,diversity,362,fwd,A,gbaf,gbaf,concat_mlp,True,False,4,
annotator_01,mind__gbaf_vs_fixed__diversity__u23211__rev,mind__gbaf_vs_fixed__diversity__u23211__pair,local_only,mind,gbaf,fixed,diversity,23211,rev,A,fixed,gbaf,fixed,False,True,4,
annotator_01,yelp__gbaf_vs_concat_mlp__diversity__u18930__fwd,yelp__gbaf_vs_concat_mlp__diversity__u18930__pair,local_only,yelp,gbaf,concat_mlp,diversity,18930,fwd,B,concat_mlp,gbaf,concat_mlp,False,True,4,
annotator_01,mind__lightgcn_only_vs_fixed__diversity__u40271__fwd,mind__lightgcn_only_vs_fixed__diversity__u40271__pair,local_only,mind,lightgcn_only,fixed,diversity,40271,fwd,A,lightgcn_only,lightgcn_only,fixed,True,False,3,
annotator_01,amazon_cds__gbaf_vs_fixed__diversity__u14321__rev,amazon_cds__gbaf_vs_fixed__diversity__u14321__pair,local_only,amazon_cds,gbaf,fixed,diversity,14321,rev,A,fixed,gbaf,fixed,False,True,3,
annotator_01,mind__gbaf_vs_fixed__diversity__u5744__fwd,mind__gbaf_vs_fixed__diversity__u5744__pair,local_only,mind,gbaf,fixed,diversity,5744,fwd,B,fixed,gbaf,fixed,False,True,4,
annotator_01,yelp__lightgcn_only_vs_fixed__diversity__u2600__rev,yelp__lightgcn_only_vs_fixed__diversity__u2600__pair,local_only,yelp,lightgcn_only,fixed,diversity,2600,rev,B,lightgcn_only,lightgcn_only,fixed,True,False,4,
annotator_01,amazon_cds__gbaf_vs_fixed__diversity__u13752__rev,amazon_cds__gbaf_vs_fixed__diversity__u13752__pair,local_only,amazon_cds,gbaf,fixed,diversity,13752,rev,A,fixed,gbaf,fixed,False,True,4,
annotator_01,yelp__gbaf_vs_concat_mlp__diversity__u33987__fwd,yelp__gbaf_vs_concat_mlp__diversity__u33987__pair,local_only,yelp,gbaf,concat_mlp,diversity,33987,fwd,TIE,TIE,gbaf,concat_mlp,False,False,3,
annotator_01,yelp__lightgcn_only_vs_fixed__diversity__u18392__fwd,yelp__lightgcn_only_vs_fixed__diversity__u18392__pair,local_only,yelp,lightgcn_only,fixed,diversity,18392,fwd,A,lightgcn_only,lightgcn_only,fixed,True,False,5,
annotator_01,amazon_cds__lightgcn_only_vs_fixed__diversity__u15509__rev,amazon_cds__lightgcn_only_vs_fixed__diversity__u15509__pair,local_only,amazon_cds,lightgcn_only,fixed,diversity,15509,rev,B,lightgcn_only,lightgcn_only,fixed,True,False,3,
annotator_01,yelp__gbaf_vs_concat_mlp__diversity__u18392__fwd,yelp__gbaf_vs_concat_mlp__diversity__u18392__pair,local_only,yelp,gbaf,concat_mlp,diversity,18392,fwd,A,gbaf,gbaf,concat_mlp,True,False,4,
annotator_01,amazon_cds__lightgcn_only_vs_fixed__diversity__u14321__rev,amazon_cds__lightgcn_only_vs_fixed__diversity__u14321__pair,local_only,amazon_cds,lightgcn_only,fixed,diversity,14321,rev,A,fixed,lightgcn_only,fixed,False,True,3,
annotator_01,yelp__lightgcn_only_vs_fixed__diversity__u362__rev,yelp__lightgcn_only_vs_fixed__diversity__u362__pair,local_only,yelp,lightgcn_only,fixed,diversity,362,rev,B,lightgcn_only,lightgcn_only,fixed,True,False,4,
annotator_01,mind__lightgcn_only_vs_fixed__diversity__u34804__fwd,mind__lightgcn_only_vs_fixed__diversity__u34804__pair,local_only,mind,lightgcn_only,fixed,diversity,34804,fwd,B,fixed,lightgcn_only,fixed,False,True,4,
annotator_01,amazon_cds__lightgcn_only_vs_fixed__diversity__u2105__fwd,amazon_cds__lightgcn_only_vs_fixed__diversity__u2105__pair,local_only,amazon_cds,lightgcn_only,fixed,diversity,2105,fwd,TIE,TIE,lightgcn_only,fixed,False,False,3,
annotator_01,yelp__gbaf_vs_concat_mlp__diversity__u81116__fwd,yelp__gbaf_vs_concat_mlp__diversity__u81116__pair,local_only,yelp,gbaf,concat_mlp,diversity,81116,fwd,B,concat_mlp,gbaf,concat_mlp,False,True,4,
annotator_01,amazon_cds__gbaf_vs_fixed__diversity__u965__fwd,amazon_cds__gbaf_vs_fixed__diversity__u965__pair,local_only,amazon_cds,gbaf,fixed,diversity,965,fwd,B,fixed,gbaf,fixed,False,True,3,
annotator_01,mind__lightgcn_only_vs_fixed__diversity__u29787__fwd,mind__lightgcn_only_vs_fixed__diversity__u29787__pair,local_only,mind,lightgcn_only,fixed,diversity,29787,fwd,A,lightgcn_only,lightgcn_only,fixed,True,False,3,
annotator_01,amazon_cds__lightgcn_only_vs_fixed__diversity__u14125__fwd,amazon_cds__lightgcn_only_vs_fixed__diversity__u14125__pair,local_only,amazon_cds,lightgcn_only,fixed,diversity,14125,fwd,B,fixed,lightgcn_only,fixed,False,True,4,
annotator_01,amazon_cds__gbaf_vs_fixed__diversity__u2105__rev,amazon_cds__gbaf_vs_fixed__diversity__u2105__pair,local_only,amazon_cds,gbaf,fixed,diversity,2105,rev,A,fixed,gbaf,fixed,False,True,3,
annotator_01,mind__gbaf_vs_fixed__diversity__u29787__rev,mind__gbaf_vs_fixed__diversity__u29787__pair,local_only,mind,gbaf,fixed,diversity,29787,rev,B,gbaf,gbaf,fixed,True,False,4,
annotator_01,yelp__lightgcn_only_vs_fixed__diversity__u19308__fwd,yelp__lightgcn_only_vs_fixed__diversity__u19308__pair,local_only,yelp,lightgcn_only,fixed,diversity,19308,fwd,B,fixed,lightgcn_only,fixed,False,True,4,
annotator_01,yelp__lightgcn_only_vs_fixed__diversity__u24594__rev,yelp__lightgcn_only_vs_fixed__diversity__u24594__pair,local_only,yelp,lightgcn_only,fixed,diversity,24594,rev,B,lightgcn_only,lightgcn_only,fixed,True,False,5,
annotator_01,yelp__lightgcn_only_vs_fixed__diversity__u18930__rev,yelp__lightgcn_only_vs_fixed__diversity__u18930__pair,local_only,yelp,lightgcn_only,fixed,diversity,18930,rev,B,lightgcn_only,lightgcn_only,fixed,True,False,3,
annotator_01,yelp__gbaf_vs_concat_mlp__diversity__u24594__fwd,yelp__gbaf_vs_concat_mlp__diversity__u24594__pair,local_only,yelp,gbaf,concat_mlp,diversity,24594,fwd,A,gbaf,gbaf,concat_mlp,True,False,3,
annotator_01,amazon_cds__lightgcn_only_vs_fixed__diversity__u13209__rev,amazon_cds__lightgcn_only_vs_fixed__diversity__u13209__pair,local_only,amazon_cds,lightgcn_only,fixed,diversity,13209,rev,A,fixed,lightgcn_only,fixed,False,True,3,
annotator_01,yelp__gbaf_vs_concat_mlp__diversity__u19308__rev,yelp__gbaf_vs_concat_mlp__diversity__u19308__pair,local_only,yelp,gbaf,concat_mlp,diversity,19308,rev,B,gbaf,gbaf,concat_mlp,True,False,5,
annotator_01,mind__gbaf_vs_fixed__diversity__u42678__rev,mind__gbaf_vs_fixed__diversity__u42678__pair,local_only,mind,gbaf,fixed,diversity,42678,rev,A,fixed,gbaf,fixed,False,True,3,
annotator_01,mind__lightgcn_only_vs_fixed__diversity__u7434__fwd,mind__lightgcn_only_vs_fixed__diversity__u7434__pair,local_only,mind,lightgcn_only,fixed,diversity,7434,fwd,B,fixed,lightgcn_only,fixed,False,True,3,
annotator_01,yelp__gbaf_vs_concat_mlp__diversity__u47111__rev,yelp__gbaf_vs_concat_mlp__diversity__u47111__pair,local_only,yelp,gbaf,concat_mlp,diversity,47111,rev,B,gbaf,gbaf,concat_mlp,True,False,4,
annotator_01,mind__gbaf_vs_fixed__diversity__u7434__fwd,mind__gbaf_vs_fixed__diversity__u7434__pair,local_only,mind,gbaf,fixed,diversity,7434,fwd,B,fixed,gbaf,fixed,False,True,3,
annotator_01,amazon_cds__lightgcn_only_vs_fixed__diversity__u13752__rev,amazon_cds__lightgcn_only_vs_fixed__diversity__u13752__pair,local_only,amazon_cds,lightgcn_only,fixed,diversity,13752,rev,A,fixed,lightgcn_only,fixed,False,True,3,
annotator_01,yelp__gbaf_vs_concat_mlp__diversity__u78602__fwd,yelp__gbaf_vs_concat_mlp__diversity__u78602__pair,local_only,yelp,gbaf,concat_mlp,diversity,78602,fwd,A,gbaf,gbaf,concat_mlp,True,False,3,
annotator_01,mind__lightgcn_only_vs_fixed__diversity__u42678__rev,mind__lightgcn_only_vs_fixed__diversity__u42678__pair,local_only,mind,lightgcn_only,fixed,diversity,42678,rev,B,lightgcn_only,lightgcn_only,fixed,True,False,3,
annotator_01,mind__lightgcn_only_vs_fixed__diversity__u44378__rev,mind__lightgcn_only_vs_fixed__diversity__u44378__pair,local_only,mind,lightgcn_only,fixed,diversity,44378,rev,B,lightgcn_only,lightgcn_only,fixed,True,False,3,
annotator_01,amazon_cds__lightgcn_only_vs_fixed__diversity__u5338__fwd,amazon_cds__lightgcn_only_vs_fixed__diversity__u5338__pair,local_only,amazon_cds,lightgcn_only,fixed,diversity,5338,fwd,A,lightgcn_only,lightgcn_only,fixed,True,False,5,
annotator_01,amazon_cds__gbaf_vs_fixed__diversity__u906__fwd,amazon_cds__gbaf_vs_fixed__diversity__u906__pair,local_only,amazon_cds,gbaf,fixed,diversity,906,fwd,B,fixed,gbaf,fixed,False,True,4,
annotator_01,yelp__lightgcn_only_vs_fixed__diversity__u81116__fwd,yelp__lightgcn_only_vs_fixed__diversity__u81116__pair,local_only,yelp,lightgcn_only,fixed,diversity,81116,fwd,A,lightgcn_only,lightgcn_only,fixed,True,False,5,
annotator_01,mind__lightgcn_only_vs_fixed__diversity__u35942__rev,mind__lightgcn_only_vs_fixed__diversity__u35942__pair,local_only,mind,lightgcn_only,fixed,diversity,35942,rev,B,lightgcn_only,lightgcn_only,fixed,True,False,5,
annotator_01,amazon_cds__gbaf_vs_fixed__diversity__u15509__rev,amazon_cds__gbaf_vs_fixed__diversity__u15509__pair,local_only,amazon_cds,gbaf,fixed,diversity,15509,rev,A,fixed,gbaf,fixed,False,True,4,
annotator_01,amazon_cds__gbaf_vs_fixed__diversity__u13315__rev,amazon_cds__gbaf_vs_fixed__diversity__u13315__pair,local_only,amazon_cds,gbaf,fixed,diversity,13315,rev,B,gbaf,gbaf,fixed,True,False,4,
annotator_01,mind__lightgcn_only_vs_fixed__diversity__u5744__fwd,mind__lightgcn_only_vs_fixed__diversity__u5744__pair,local_only,mind,lightgcn_only,fixed,diversity,5744,fwd,B,fixed,lightgcn_only,fixed,False,True,4,
annotator_01,mind__gbaf_vs_fixed__diversity__u44378__fwd,mind__gbaf_vs_fixed__diversity__u44378__pair,local_only,mind,gbaf,fixed,diversity,44378,fwd,B,fixed,gbaf,fixed,False,True,4,
annotator_01,mind__gbaf_vs_fixed__diversity__u34804__fwd,mind__gbaf_vs_fixed__diversity__u34804__pair,local_only,mind,gbaf,fixed,diversity,34804,fwd,B,fixed,gbaf,fixed,False,True,4,
annotator_01,mind__gbaf_vs_fixed__diversity__u28130__fwd,mind__gbaf_vs_fixed__diversity__u28130__pair,local_only,mind,gbaf,fixed,diversity,28130,fwd,A,gbaf,gbaf,fixed,True,False,5,
