base_id,condition,dataset,model_a,model_b,dimension,user_id,n_annotations,prefer_model_a,prefer_model_b,tie,majority_preference,ndcg_winner,cov_winner,aligns_ndcg,aligns_cov,pairwise_agreement
amazon_cds__gbaf_vs_fixed__diversity__u13209__pair,local_only,amazon_cds,gbaf,fixed,diversity,13209,5,4,1,0,gbaf,gbaf,fixed,True,False,0.6
amazon_cds__gbaf_vs_fixed__diversity__u13315__pair,local_only,amazon_cds,gbaf,fixed,diversity,13315,5,5,0,0,gbaf,gbaf,fixed,True,False,1.0
amazon_cds__gbaf_vs_fixed__diversity__u13752__pair,local_only,amazon_cds,gbaf,fixed,diversity,13752,5,1,3,1,fixed,gbaf,fixed,False,True,0.3
amazon_cds__gbaf_vs_fixed__diversity__u14125__pair,local_only,amazon_cds,gbaf,fixed,diversity,14125,5,0,5,0,fixed,gbaf,fixed,False,True,1.0
amazon_cds__gbaf_vs_fixed__diversity__u14321__pair,local_only,amazon_cds,gbaf,fixed,diversity,14321,5,1,4,0,fixed,gbaf,fixed,False,True,0.6
amazon_cds__gbaf_vs_fixed__diversity__u15509__pair,local_only,amazon_cds,gbaf,fixed,diversity,15509,5,1,4,0,fixed,gbaf,fixed,False,True,0.6
amazon_cds__gbaf_vs_fixed__diversity__u2105__pair,local_only,amazon_cds,gbaf,fixed,diversity,2105,5,0,5,0,fixed,gbaf,fixed,False,True,1.0
amazon_cds__gbaf_vs_fixed__diversity__u5338__pair,local_only,amazon_cds,gbaf,fixed,diversity,5338,5,5,0,0,gbaf,gbaf,fixed,True,False,1.0
amazon_cds__gbaf_vs_fixed__diversity__u906__pair,local_only,amazon_cds,gbaf,fixed,diversity,906,5,0,3,2,fixed,gbaf,fixed,False,True,0.4
amazon_cds__gbaf_vs_fixed__diversity__u965__pair,local_only,amazon_cds,gbaf,fixed,diversity,965,5,1,4,0,fixed,gbaf,fixed,False,True,0.6
amazon_cds__gbaf_vs_fixed__global_diversity__pair,global_stats,amazon_cds,gbaf,fixed,global_diversity,,5,0,5,0,fixed,gbaf,fixed,False,True,1.0
amazon_cds__lightgcn_only_vs_fixed__diversity__u13209__pair,local_only,amazon_cds,lightgcn_only,fixed,diversity,13209,5,0,4,1,fixed,lightgcn_only,fixed,False,True,0.6
amazon_cds__lightgcn_only_vs_fixed__diversity__u13315__pair,local_only,amazon_cds,lightgcn_only,fixed,diversity,13315,5,2,3,0,fixed,lightgcn_only,fixed,False,True,0.4
amazon_cds__lightgcn_only_vs_fixed__diversity__u13752__pair,local_only,amazon_cds,lightgcn_only,fixed,diversity,13752,5,0,5,0,fixed,lightgcn_only,fixed,False,True,1.0
amazon_cds__lightgcn_only_vs_fixed__diversity__u14125__pair,local_only,amazon_cds,lightgcn_only,fixed,diversity,14125,5,1,4,0,fixed,lightgcn_only,fixed,False,True,0.6
amazon_cds__lightgcn_only_vs_fixed__diversity__u14321__pair,local_only,amazon_cds,lightgcn_only,fixed,diversity,14321,5,1,4,0,fixed,lightgcn_only,fixed,False,True,0.6
amazon_cds__lightgcn_only_vs_fixed__diversity__u15509__pair,local_only,amazon_cds,lightgcn_only,fixed,diversity,15509,5,4,1,0,lightgcn_only,lightgcn_only,fixed,True,False,0.6
