level,dimension,metric,n,alignment_pct
pair,balanced,ndcg,16,87.5
pair,balanced,coverage,16,18.75
pair,balanced,local_text_distance,16,43.75
pair,balanced,local_category_count,8,75.0
pair,balanced,local_category_entropy,8,75.0
pair,balanced,description_length,15,86.66666666666667
pair,balanced,history_similarity,16,62.5
pair,balanced,average_popularity,16,87.5
pair,diversity,ndcg,16,75.0
pair,diversity,coverage,16,31.25
pair,diversity,local_text_distance,16,56.25
pair,diversity,local_category_count,8,75.0
pair,diversity,local_category_entropy,8,75.0
pair,diversity,description_length,15,73.33333333333333
pair,diversity,history_similarity,16,37.5
pair,diversity,average_popularity,16,75.0
pair,novelty,ndcg,16,50.0
pair,novelty,coverage,16,56.25
pair,novelty,local_text_distance,16,68.75
pair,novelty,local_category_count,8,50.0
pair,novelty,local_category_entropy,8,50.0
pair,novelty,description_length,15,60.0
pair,novelty,history_similarity,16,37.5
pair,novelty,average_popularity,16,50.0
pair,relevance,ndcg,16,56.25
pair,relevance,coverage,16,50.0
pair,relevance,local_text_distance,16,37.5
pair,relevance,local_category_count,8,37.5
pair,relevance,local_category_entropy,8,37.5
pair,relevance,description_length,15,53.333333333333336
pair,relevance,history_similarity,16,81.25
pair,relevance,average_popularity,16,56.25
user,balanced,ndcg,199,61.80904522613066
user,balanced,coverage,199,38.19095477386934
user,balanced,local_text_distance,199,43.71859296482412
user,balanced,local_category_count,94,55.319148936170215
user,balanced,local_category_entropy,98,53.06122448979592
user,balanced,description_length,198,64.14141414141415
user,balanced,history_similarity,199,64.82412060301507
user,balanced,average_popularity,199,56.78391959798995
user,diversity,ndcg,266,62.03007518796993
user,diversity,coverage,266,37.96992481203007
user,diversity,local_text_distance,266,63.1578947368421
user,diversity,local_category_count,141,83.68794326241135
user,diversity,local_category_entropy,149,80.53691275167785
user,diversity,description_length,264,70.07575757575758
user,diversity,history_similarity,266,40.6015037593985
user,diversity,average_popularity,266,57.5187969924812
user,novelty,ndcg,359,53.760445682451255
user,novelty,coverage,359,46.239554317548745
user,novelty,local_text_distance,359,66.01671309192201
user,novelty,local_category_count,166,75.30120481927712
user,novelty,local_category_entropy,178,71.34831460674157
user,novelty,description_length,354,66.94915254237289
user,novelty,history_similarity,359,40.947075208913645
user,novelty,average_popularity,359,53.48189415041783
user,relevance,ndcg,241,50.62240663900415
user,relevance,coverage,241,49.37759336099585
user,relevance,local_text_distance,241,38.589211618257266
user,relevance,local_category_count,119,31.932773109243694
user,relevance,local_category_entropy,129,32.55813953488372
user,relevance,description_length,237,51.0548523206751
user,relevance,history_similarity,241,70.12448132780082
user,relevance,average_popularity,241,43.15352697095436
