dimension,metric,consistent_verdicts,eligible_n,aligned,alignment_pct,metric_ties_excluded,missing_metric_excluded
balanced,system_average_ndcg,199,199,123,61.80904522613066,0,0
balanced,system_average_coverage,199,199,76,38.19095477386934,0,0
balanced,local_text_distance,199,199,87,43.71859296482412,0,0
balanced,local_category_count,199,94,52,55.319148936170215,5,100
balanced,local_category_entropy,199,98,52,53.06122448979592,1,100
balanced,description_length,199,198,127,64.14141414141415,1,0
balanced,history_similarity,199,199,129,64.82412060301507,0,0
balanced,average_popularity,199,199,113,56.78391959798995,0,0
relevance,system_average_ndcg,241,241,122,50.62240663900415,0,0
relevance,system_average_coverage,241,241,119,49.37759336099585,0,0
relevance,local_text_distance,241,241,93,38.58921161825726,0,0
relevance,local_category_count,241,119,38,31.932773109243698,10,112
relevance,local_category_entropy,241,129,42,32.55813953488372,0,112
relevance,description_length,241,237,121,51.0548523206751,4,0
relevance,history_similarity,241,241,169,70.12448132780084,0,0
relevance,average_popularity,241,241,104,43.15352697095436,0,0
diversity,system_average_ndcg,266,266,165,62.03007518796993,0,0
diversity,system_average_coverage,266,266,101,37.96992481203007,0,0
diversity,local_text_distance,266,266,168,63.1578947368421,0,0
diversity,local_category_count,266,141,118,83.68794326241135,8,117
diversity,local_category_entropy,266,149,120,80.53691275167785,0,117
diversity,description_length,266,264,185,70.07575757575758,2,0
diversity,history_similarity,266,266,108,40.6015037593985,0,0
diversity,average_popularity,266,266,153,57.5187969924812,0,0
novelty,system_average_ndcg,359,359,193,53.760445682451255,0,0
novelty,system_average_coverage,359,359,166,46.239554317548745,0,0
novelty,local_text_distance,359,359,237,66.016713091922,0,0
novelty,local_category_count,359,166,125,75.3012048192771,13,180
novelty,local_category_entropy,359,178,127,71.34831460674157,1,180
novelty,description_length,359,354,237,66.94915254237289,5,0
novelty,history_similarity,359,359,147,40.94707520891365,0,0
novelty,average_popularity,359,359,192,53.48189415041783,0,0
