annotator_id,case_id,verdict,confidence_1_to_5,notes_optional
annotator_01,yelp__lightgcn_only_vs_fixed__diversity__u78602__rev,,,
annotator_01,amazon_cds__lightgcn_only_vs_fixed__diversity__u906__rev,,,
annotator_01,yelp__lightgcn_only_vs_fixed__diversity__u47111__fwd,,,
annotator_01,amazon_cds__gbaf_vs_fixed__diversity__u5338__fwd,,,
annotator_01,mind__gbaf_vs_fixed__diversity__u35942__fwd,,,
annotator_01,yelp__gbaf_vs_concat_mlp__diversity__u2600__rev,,,
annotator_01,mind__gbaf_vs_fixed__diversity__u40271__rev,,,
annotator_01,amazon_cds__gbaf_vs_fixed__diversity__u14125__rev,,,
annotator_01,yelp__gbaf_vs_concat_mlp__diversity__u362__fwd,,,
annotator_01,mind__gbaf_vs_fixed__diversity__u23211__rev,,,
annotator_01,yelp__gbaf_vs_concat_mlp__diversity__u18930__fwd,,,
annotator_01,mind__lightgcn_only_vs_fixed__diversity__u40271__fwd,,,
annotator_01,amazon_cds__gbaf_vs_fixed__diversity__u14321__rev,,,
annotator_01,mind__gbaf_vs_fixed__diversity__u5744__fwd,,,
annotator_01,yelp__lightgcn_only_vs_fixed__diversity__u2600__rev,,,
annotator_01,amazon_cds__gbaf_vs_fixed__diversity__u13752__rev,,,
annotator_01,yelp__gbaf_vs_concat_mlp__diversity__u33987__fwd,,,
annotator_01,yelp__lightgcn_only_vs_fixed__diversity__u18392__fwd,,,
annotator_01,amazon_cds__lightgcn_only_vs_fixed__diversity__u15509__rev,,,
annotator_01,yelp__gbaf_vs_concat_mlp__diversity__u18392__fwd,,,
annotator_01,amazon_cds__lightgcn_only_vs_fixed__diversity__u14321__rev,,,
annotator_01,yelp__lightgcn_only_vs_fixed__diversity__u362__rev,,,
annotator_01,mind__lightgcn_only_vs_fixed__diversity__u34804__fwd,,,
annotator_01,amazon_cds__lightgcn_only_vs_fixed__diversity__u2105__fwd,,,
annotator_01,yelp__gbaf_vs_concat_mlp__diversity__u81116__fwd,,,
annotator_01,amazon_cds__gbaf_vs_fixed__diversity__u965__fwd,,,
annotator_01,mind__lightgcn_only_vs_fixed__diversity__u29787__fwd,,,
annotator_01,amazon_cds__lightgcn_only_vs_fixed__diversity__u14125__fwd,,,
annotator_01,amazon_cds__gbaf_vs_fixed__diversity__u2105__rev,,,
annotator_01,mind__gbaf_vs_fixed__diversity__u29787__rev,,,
annotator_01,yelp__lightgcn_only_vs_fixed__diversity__u19308__fwd,,,
annotator_01,yelp__lightgcn_only_vs_fixed__diversity__u24594__rev,,,
annotator_01,yelp__lightgcn_only_vs_fixed__diversity__u18930__rev,,,
annotator_01,yelp__gbaf_vs_concat_mlp__diversity__u24594__fwd,,,
annotator_01,amazon_cds__lightgcn_only_vs_fixed__diversity__u13209__rev,,,
annotator_01,yelp__gbaf_vs_concat_mlp__diversity__u19308__rev,,,
annotator_01,mind__gbaf_vs_fixed__diversity__u42678__rev,,,
annotator_01,mind__lightgcn_only_vs_fixed__diversity__u7434__fwd,,,
annotator_01,yelp__gbaf_vs_concat_mlp__diversity__u47111__rev,,,
annotator_01,mind__gbaf_vs_fixed__diversity__u7434__fwd,,,
annotator_01,amazon_cds__lightgcn_only_vs_fixed__diversity__u13752__rev,,,
annotator_01,yelp__gbaf_vs_concat_mlp__diversity__u78602__fwd,,,
annotator_01,mind__lightgcn_only_vs_fixed__diversity__u42678__rev,,,
annotator_01,mind__lightgcn_only_vs_fixed__diversity__u44378__rev,,,
annotator_01,amazon_cds__lightgcn_only_vs_fixed__diversity__u5338__fwd,,,
annotator_01,amazon_cds__gbaf_vs_fixed__diversity__u906__fwd,,,
annotator_01,yelp__lightgcn_only_vs_fixed__diversity__u81116__fwd,,,
annotator_01,mind__lightgcn_only_vs_fixed__diversity__u35942__rev,,,
annotator_01,amazon_cds__gbaf_vs_fixed__diversity__u15509__rev,,,
annotator_01,amazon_cds__gbaf_vs_fixed__diversity__u13315__rev,,,
annotator_01,mind__lightgcn_only_vs_fixed__diversity__u5744__fwd,,,
annotator_01,mind__gbaf_vs_fixed__diversity__u44378__fwd,,,
annotator_01,mind__gbaf_vs_fixed__diversity__u34804__fwd,,,
annotator_01,mind__gbaf_vs_fixed__diversity__u28130__fwd,,,
annotator_01,yelp__lightgcn_only_vs_fixed__diversity__u33987__fwd,,,
annotator_01,mind__lightgcn_only_vs_fixed__diversity__u23211__rev,,,
annotator_01,amazon_cds__lightgcn_only_vs_fixed__diversity__u965__rev,,,
annotator_01,amazon_cds__lightgcn_only_vs_fixed__diversity__u13315__fwd,,,
annotator_01,amazon_cds__gbaf_vs_fixed__diversity__u13209__fwd,,,
annotator_01,mind__lightgcn_only_vs_fixed__diversity__u28130__fwd,,,
annotator_01,amazon_cds__gbaf_vs_fixed__global_diversity__annotator_01__fwd,,,
annotator_01,amazon_cds__lightgcn_only_vs_fixed__global_diversity__annotator_01__rev,,,
annotator_01,mind__gbaf_vs_fixed__global_diversity__annotator_01__rev,,,
annotator_01,mind__lightgcn_only_vs_fixed__global_diversity__annotator_01__fwd,,,
annotator_01,yelp__gbaf_vs_concat_mlp__global_diversity__annotator_01__fwd,,,
annotator_01,yelp__lightgcn_only_vs_fixed__global_diversity__annotator_01__fwd,,,
